NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
J000,FLATNESS FACE CRANK CASE,Flatness J 000,0.0,0.0,0.05,0.0,
L000,FLATNESS FACE CYL HEAD,Flatness L 000,0.0,0.0,0.05,0.0,
J163,POSITION X,X Value_DWL L154,-38.0,38.0,0.05,-0.05,
J163,POSITION Y,Z Value_J 163,31.0,31.0,0.05,-0.05,
J164,POSITION Y,Z Value_DWL L154,31.0,31.0,0.05,-0.05,
J164,DISTANCE DOWELL (X)POSITION Y,Distance1_X,74.0,74.0,0.05,-0.05,
J151,POSITION X,X Value_ J 151,-38.0,38.0,0.2,-0.2,
J151,POSITION Y,Z Value_J 151,-31.0,31.0,0.2,-0.2,
J152,POSITION X,X Value_J 152,36.0,36.0,0.2,-0.2,
J152,POSITION Y,Z Value_J 152,-31.0,31.0,0.2,-0.2,
L152,POSITION X,X Value_L 152,36.0,36.0,0.2,-0.2,
L152,POSITION Y,Z Value_L 152,-31.0,31.0,0.2,-0.2,
L163,POSITION X,X Value_L163,-38.0,38.0,0.2,-0.2,
L163,POSITION Y,Z Value_L163,31.0,31.0,0.2,-0.2,
L153,POSITION X,X Value_L 153,-35.0,35.0,0.2,-0.2,
L153,POSITION Y,Z Value_L 153,-77.3,77.3,0.2,-0.2,
L154,POSITION X,X Value_L154,27.5,27.5,0.2,-0.2,
L154,POSITION Y,Z Value_L154,-77.3,77.3,0.2,-0.2,
L151,DISTANCE DOWELL (X),Distance X L151_X,74.0,74.0,0.05,-0.05,
L151,DISTANCE DOWELL (Y),Distance  Y L151_Z,62.0,62.0,0.05,-0.05,
L164,POSITION X,X Value_L 164,36.0,36.0,0.05,-0.05,
L164,POSITION Y,Z Value_L 164,31.0,31.0,0.05,-0.05,
K301,POSITION X THD CENTER,Distance K 301_Z,21.0,21.0,0.2,-0.2,
K301,POSITION Y,Y Value_K 301,30.0,30.0,0.2,-0.2,
K302,POSITION X THD K301,Distance K 302_Z,42.0,42.0,0.2,-0.2,
K302,POSITION Y,Y Value_K 302,30.0,30.0,0.2,-0.2,
K303,POSITION X,Z Value_K 303,-49.6,49.6,0.2,-0.2,
K303,POSITION Y,Y Value_ K 303,30.0,30.0,0.2,-0.2,
K304,POSITION X,Z Value_K 304,14.0,14.0,0.2,-0.2,
K304,POSITION Y,Y Value_K 304,-24.5,24.5,0.2,-0.2,
K305,POSITION X,X Value_Intersection K 305,-54.5,54.5,0.2,-0.2,
K305,POSITION Y,Z Value_Intersection K 305,-12.5,12.5,0.2,-0.2,
K305,POSITION Y THD FACE HEAD,Y Value_K 305,-20.8,20.8,0.2,-0.2,
K305,ANGLE,Projection Angle Two_K 305,40.0,40.0,1.05,-1.05,
L100,PERPENDICULARITY ,Perpendicularity L 100,0.0,0.0,0.03,0.0,
K401,POSITION X,X Value_K 401,-28.0,28.0,0.2,-0.2,
K401,POSITION Y,Y Value_K 401,-62.0,62.0,0.2,-0.2,
K402,POSITION X,Distance K 402_X,1.0,1.0,0.1,-0.1,
K402,POSITION Y,Distance  K402_Y,52.0,52.0,0.15,-0.15,
K403,POSITION X,Distance K 403_X,53.0,53.0,0.15,-0.15,
K403,POSITION Y,Distance K 403_Y,52.0,52.0,0.15,-0.15,
